NEIGHBORHOOD,BLACKdeaths,Black MD AGE AT DEATH,WHITEdeaths,White MD AGE AT DEATH,TOTALdeaths*,TOTAL MD AGE AT DEATH,neighborhood
SOUTH SHORE,0,0,0,0,0,0,South Shore
CHATEAU,0,0,2,,2,,Chateau
NORTH SHORE,0,0,4,,5,80,North Shore
ALLEGHENY WEST,3,,4,,8,65,Allegheny West
SAINT CLAIR,5,67.5,5,67.5,10,67.5,Saint Clair
WEST END,5,76.7,9,78,14,77.5,West End
ESPLEN,3,,13,72.5,16,71.7,Esplen
ARLINGTON HEIGHTS,10,55,7,72.5,17,63.7,Arlington Heights
STRIP DISTRICT,7,76.7,12,70,19,72.5,Strip District
FAIRYWOOD,11,62.5,9,42.5,21,53.3,Fairywood
HAYS,1,,23,78.9,24,78.3,Hays
MOUNT OLIVER NEIGHBORHOOD,9,67.5,17,80,26,75,Mount Oliver Neighborhood
EAST CARNEGIE,9,72.5,18,81,27,80,East Carnegie
REGENT SQUARE,1,,27,75.8,28,76.7,Regent Square
CALIFORNIA-KIRKBRIDE,16,70,10,70,30,69.3,California-Kirkbride
CHARTIERS CITY,20,70,15,81.2,35,76.9,Chartiers City
FRIENDSHIP,15,66.2,24,73,41,71.1,Friendship
BLUFF,18,71.7,24,69,42,70,Bluff
ALLEGHENY CENTER,21,63.3,23,86.2,46,81.7,Allegheny Center
BON AIR,3,,48,78.3,51,78.5,Bon Air
CENTRAL OAKLAND,2,,50,84,52,84,Central Oakland
RIDGEMONT,0,0,52,79.3,52,79.3,Ridgemont
NORTHVIEW HEIGHTS,51,69.5,1,,54,68,Northview Heights
FINEVIEW,19,73.3,38,70,58,70.8,Fineview
SUMMER HILL,8,75,56,79,64,78.3,Summer Hill
HOMEWOOD WEST,63,80.9,1,,66,80.3,Homewood West
SPRING GARDEN,4,,61,73.5,67,71.8,Spring Garden
SWISSHELM PARK,0,0,67,83.1,67,83.1,Swisshelm Park
NEW HOMESTEAD,4,,67,83.8,71,83.4,New Homestead
OAKWOOD,3,,78,78.7,82,78.8,Oakwood
POLISH HILL,9,67.5,76,72.8,85,72.2,Polish Hill
POINT BREEZE NORTH,67,74.6,18,71,87,73.2,Point Breeze North
BEDFORD DWELLINGS,82,71.3,5,70,88,71.4,Bedford Dwellings
WEST OAKLAND,59,73.8,32,87,93,79.5,West Oakland
ARLINGTON,14,55,81,76.1,96,73.7,Arlington
TERRACE VILLAGE,94,71.8,3,,99,71.2,Terrace Village
SOUTH OAKLAND,37,75.7,63,77.5,103,77.1,South Oakland
WINDGAP,24,71.2,80,80.4,104,77.5,Windgap
MANCHESTER,97,67.2,15,70,113,67.4,Manchester
UPPER LAWRENCEVILLE,8,48.3,111,75.5,119,73.7,Upper Lawrenceville
ELLIOTT,28,67,91,73.7,121,72,Elliott
BELTZHOOVER,105,76.1,13,76,125,76.6,Beltzhoover
ALLENTOWN,41,55.6,82,72.1,126,66.5,Allentown
GLEN HAZEL,60,80.7,69,78.7,131,79.8,Glen Hazel
CENTRAL BUSINESS DISTRICT,33,64.5,92,77,133,73.9,Central Business District
DUQUESNE HEIGHTS,3,,131,79.3,134,79.2,Duquesne Heights
LOWER LAWRENCEVILLE,20,60,118,75.7,138,73.9,Lower Lawrenceville
CENTRAL NORTHSIDE,90,72,54,73.3,147,71.7,Central Northside
TROY HILL/HERR'S ISLAND,15,42.5,134,73.8,151,70.3,Troy Hill/Herr'S Island
EAST ALLEGHENY,51,62.7,100,70,157,66.2,East Allegheny
MORNINGSIDE,10,70,150,78.2,161,77.8,Morningside
WESTWOOD,12,58.3,159,77.8,173,77,Westwood
LARIMER,123,77.3,45,70,174,75.3,Larimer
POINT BREEZE,13,66.7,158,85.7,175,85.1,Point Breeze
EAST HILLS,171,71.7,4,,177,70.9,East Hills
MIDDLE HILL,174,73.1,6,61.7,183,72.4,Middle Hill
HOMEWOOD NORTH,175,75.3,4,,185,75.1,Homewood North
CRAFTON HEIGHTS,27,51.2,159,76,187,73.5,Crafton Heights
KNOXVILLE,61,61.8,121,75.6,188,71.7,Knoxville
SPRING HILL-CITYVIEW,34,69.3,153,79.2,189,77.8,Spring Hill-Cityview
UPPER HILL,102,77.4,88,88.4,191,81.7,Upper Hill
GARFIELD,159,71.5,36,79.3,198,73.5,Garfield
CRAWFORD ROBERTS,189,75.3,10,70,202,74.8,Crawford Roberts
HOMEWOOD SOUTH,196,76.9,4,,204,76.5,Homewood South
PERRY NORTH,56,63.5,144,79.5,205,74.6,Perry North
HIGHLAND PARK,49,68.7,159,83.2,213,79.2,Highland Park
LINCOLN PLACE,3,,212,80.3,217,79.8,Lincoln Place
SOUTHSIDE SLOPES,9,58.7,208,77.9,220,77.2,Southside Slopes
SQUIRREL HILL NORTH,6,75,231,85.3,242,85,Squirrel Hill North
SHERADEN,62,62.2,180,76.8,248,72,Sheraden
MARSHALL-SHADELAND,55,60,191,73.2,252,70,Marshall-Shadeland
BANKSVILLE,4,,247,85.5,253,85.5,Banksville
PERRY SOUTH,147,71.6,105,83.3,259,76.4,Perry South
HAZELWOOD,74,68.2,184,74.2,261,72.2,Hazelwood
SOUTHSIDE FLATS,11,74,265,78.8,277,78.4,Southside Flats
STANTON HEIGHTS,112,75.6,165,84,278,80.5,Stanton Heights
NORTH OAKLAND,45,70.9,227,86.8,279,85.6,North Oakland
OVERBROOK,4,,284,82.5,289,82.2,Overbrook
GREENFIELD,8,65,325,79.6,337,79.2,Greenfield
CENTRAL LAWRENCEVILLE,18,75,338,81.7,358,81.3,Central Lawrenceville
EAST LIBERTY,259,71.8,91,78.4,364,73,East Liberty
LINCOLN-LEMINGTON-BELMAR,287,76.7,98,84.7,389,78.8,Lincoln-Lemington-Belmar
BLOOMFIELD,25,68,362,78.9,394,78.2,Bloomfield
SHADYSIDE,72,81.2,320,82.4,406,82.1,Shadyside
BEECHVIEW,35,55.8,398,80.2,434,78.9,Beechview
MOUNT WASHINGTON,35,68.1,433,77,476,76.3,Mount Washington
BRIGHTON HEIGHTS,56,63.7,432,80.3,496,78.9,Brighton Heights
CARRICK,35,59.4,622,77,678,75.9,Carrick
BROOKLINE,13,61.2,723,78.1,750,77.8,Brookline
SQUIRREL HILL SOUTH,58,83.2,721,86.2,802,85.9,Squirrel Hill South
,,,,,,,
*Total includes Other and Unknown race.,,,,,,,
