station_no,neighborhood,station
3,Strip District,1401_Penn_AVE
4,Uptown,1324_Forbes_AVE
6,Upper Lawrenceville,3958_Penn_AVE
6,Central Lawrenceville,3958_Penn_AVE
6,Lower Lawrenceville,3958_Penn_AVE
7,Stanton Heights,4603_Stanton_AVE
8,East Liberty,5714_Penn_Circle_West
10,Bedford Dwellings,2500_Allequippa_Street
10,Crawford-Roberts,2500_Allequippa_Street
10,Middle Hill,2500_Allequippa_Street
10,Terrace Village,2500_Allequippa_Street
10,Upper Hill,2500_Allequippa_Street
10,Polish Hill,2500_Allequippa_Street
12,Greenfield,4156_Winterburn_Street
13,Hazelwood,200_Flowers_AVE
14,North Oakland,259_McKee_Place
14,Central Oakland,259_McKee_Place
14,South Oakland,259_McKee_Place
14,West Oakland,259_McKee_Place
15,Lincoln-Lemington-Belmar,7024_Lemington_AVE
16,Wilkinsburg,605 Ross AVE
17,Homewood North,7601 Hamilton AVE
17,Homewood South,7602 Hamilton AVE
17,Homewood West,7603 Hamilton AVE
18,Squirrel Hill North,5858 Northumberland
18,Squirrel Hill South,5859 Northumberland
19,Swisshelm Park,159 Homestead Street
20,Hays,514 Baldwin Road
22,Arlington,1945 Arlington AVE
22,Mount Oliver,1945 Arlington AVE
23,Carrick,1704 Brownsville Road
24,South Side,1729 Mary Street
26,Brookline,630 Brookline Blvd
27,Mount Washington,96 Virginia AVE
28,Beechview,1428 Beechview AVE
29,Westwood,2100 Noblestown Road
30,Elliott,916 Steuben Street
31,Sheraden,3000 Chartiers AVE
32,East Allegheny,900 Spring Garden AVE
33,Marshall-Shadeland,3284 Central AVE
34,Perry North,3914 Perrysville AVE
35,Brighton Heights,1519 Orchlee Street
37,Manchester,1124 West North AVE
38,Northview Heights,198 Essen Street
